word,sentence
تار,وقتی صبح از خواب بیدار شدم، روی بالش یک تار موی سفید دیدم که نشان از گذر زمان داشت.
تار,در باغ، عنکبوت‌ها تار های خود را بین شاخه‌های درختان تنیده بودند و زیبایی خاصی به طبیعت می‌بخشیدند.
تار,مادر بزرگ همیشه با دقت تار های پارچه‌ای را بررسی می‌کرد تا هیچ نقصی در کارش نباشد.
تار,به محض اینکه وارد اتاق شدم، یک تار نازک از پنجره تا دیوار کشیده شده بود که نور خورشید را منعکس می‌کرد.
تار,تار ابریشم در دست‌های ظریف او به یک پارچه‌ی زیبا تبدیل می‌شد و همه را شگفت‌زده می‌کرد.
تار,در کتابخانه، بین صفحات کتاب کهنه، یک تار موی بلوند پیدا کردم که احتمالاً متعلق به صاحب قبلی بود.
تار,هر شب قبل از خواب، موهایش را شانه می‌کرد و تار های ریخته شده را با دقت جمع‌آوری می‌نمود.
تار,در نور ملایم چراغ مطالعه، تار های گیسوی طلایی‌اش همچون شعله‌های کوچک می‌درخشیدند.
تار,در دل شب، وقتی نور ماه بر تار عنکبوت می‌تابید، صحنه‌ای رویایی و جادویی خلق می‌شد.
تار,بچه‌ها با شادی تار های نخ را به هم می‌بافتند و دستبندهای رنگارنگ درست می‌کردند.
تار,هنگام بافتن قالی، دقت می‌کردم تا تار های عمودی به درستی تنیده شوند و فرش بدون عیب باشد.
تار,استاد بافنده با هنرمندی تار و پود فرش را به هم متصل می‌کرد و طرح‌های زیبایی می‌آفرید.
تار,وقتی قالیچه را از نزدیک دیدم، متوجه شدم که تار های پنبه‌ای به خوبی با پودهای رنگارنگ هماهنگ شده‌اند.
تار,هنرمندان قالی‌باف با دقت زیاد تار های ابریشمی را انتخاب می‌کردند تا کیفیت کارشان بالا برود.
تار,نخ‌های پشمی رنگی به دقت از لابه‌لای تار های قالی رد می‌شدند و نقوش زیبایی را خلق می‌کردند.
تار,پدرم همیشه با افتخار درباره‌ی مهارت مادربزرگ در تنیدن تار و پود قالی‌های دستباف صحبت می‌کرد.
تار,در کارگاه قالی‌بافی، زنان هنرمند با مهارت خاصی تار های نخ را به پودها متصل می‌کردند و نقش‌های بی‌نظیری می‌آفریدند.
