id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
14203,بازي,بازي,192,Adjective,material,اين ماده بازي با محلول اسيدي ترکيب شد,ويژگي هر يک از انواع گوناگون ترکيبات شيميايي با مزه تلخ که مي توانند با اسيدها ترکيب شوند و نمک و آب توليد کنند
27655,بازي,بازي,12686,Noun,TIME,--نامعلوم--:به خاطر خوب دفاع کردن بازيکنان، بازي يک ساعت  طول کشيد *,--نامعلوم--:مدتي که بازي در جريان است *
27656,بازي,بازي,10547,Noun,ACT,--نامعلوم--:او بازي را و در نتيجه يک‌ميليون تومان باخت. *,--نامعلوم--:تفريحي که در آن پس از پايان بازي، برنده چيز تعيين‌شده‌اي که معمولاً پول است را از بازنده دريافت مي‌کند.  *
27657,بازي,بازي,13574,Noun,ACT,--نامعلوم--:بازي کودک با يک تکه دستمال کاغذي ساعت‌ها ادامه داشت. *,--نامعلوم--:فعاليتي که کودکان براي سرگرمي و تفريح انجام مي‌دهند. *
27658,بازي,بازي,10558,Noun,ACT,--نامعلوم--:بازي او در نقش حمزه بي نظير بود *,--نامعلوم--:اجرا کردن نقش در نمايش يا فيلم *
27659,بازي,بازي,10537,Noun,ACT,--نامعلوم--:همة زندگي او بازي است. * --نامعلوم--:اين بازي‌ها مناسب روزهاي تعطيل است تا حوصله‌مان سر نرود. *,--نامعلوم--:تفريحي که براي گذراندن زمان انجام مي‌گيرد و جدي نيست. *
27660,بازي,بازي,13575,Noun,ACT,بازي آن ميله  ممکن است به موتور آسيب بزند، پس زودترعوضش کنيد.,حرکت داشتن يا تکان خوردن يک قطعه در يک دستگاه به دليل قرار نگرفتن در جاي اصلي يا محکم نشدن آن را گويند.
27661,بازي,بازي,12889,Noun,ACT,--نامعلوم--:براي اين بازي، ميداني به ابعاد 2متر در 3متر نياز است *,--نامعلوم--:رقابتي داراي قوانين خاص که براي تعيين برنده انجام مي‌پذيرد. *
27662,بازي,بازي,12974,Noun,ACT,--نامعلوم--:باز‌ي‌اي را که مربي براي امشب در نظر گرفته را هيچ‌کس نمي‌داند. *,--نامعلوم--:نقشة ازپيش‌طراحي‌شده براي مسابقه‌اي خاص را گويند. *
27663,بازي,بازي,12426,Noun,STATE,بازي  پشت‌پرده  جناح‌هاي سياسي هنوز در جريان است.,فعاليت‌ براي رسيدن به اهداف خاص را گويند.
