id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
29276,جا,جا,11242,Noun,ATTRIBUTE,در حد تواناي‌ اش تلاش کرد. *تا اندازه‌اي که مي‌توانست خواند. *بي‌ادبي را به جايي رسانده که به پدرش نيز توهين مي‌کند.,بيشترين ميزان ممکن چيزي را گويند.
29277,جا,جا,13846,Noun,ARTIFACT,جا کفشي,محل قرار دادن يا نگهداري چيزي
29278,جا,جا,10323,Noun,ARTIFACT,--نامعلوم--:جايش را انداخت و خوابيد *,--نامعلوم--:تشک و بالشي که جهت خوابيدن روي آن‌ها استفاده مي‌شود. *
29279,جا,جا,13845,Noun,COGNITION,حالا از اين جا بشنويد که...,گوشه اي از ماجرا يا بخشي از داستان
29280,جا,جا,13809,Noun,STATE,طوري عمل کن که محل اعتراضي باقي نماند.,شرايطي براي انجام کاري را گويند.
29281,جا,جا,11881,Noun,LOCATION,آنجا جاي خوبي براي احداث مدرسه است,قطعه زميني که براي ساختن  چيزي  اختصاص يافته يا مي يابد
29282,جا,جا,14035,Noun,COGNITION,او جاي ويژه اي در قلب من دارد,محلي انتزاعي در ذهن
29283,جا,جا,12367,Noun,STATE,اگر تو جاي من بودي چه کار مي‌کردي. *جاي من نيستي که موقعيتم را درک کني.,وضعيتي خاص را گويند.
29284,جا,جا,13842,Noun,TIME,جاي حرف زدن نبود.,زمان و وضع مناسب براي کاري را گويند.
29285,جا,جا,12790,Noun,ARTIFACT,--نامعلوم--:آنها با پول اقامتگاههاي ارزان قيمتي براي سيل زدگان ساختند. او مقامي مناسب شان خود خواست *,--نامعلوم--:محل سکونتي که  فرد با خانواده اش در آن زندگي مي کند *
29286,جا,جا,13843,Noun,COMMUNICATION,قدمگاه محلي است که رد پا يا جاي پايي در سنگ و جز آن پديدار است وگمان بر آن است که جاي پاي پيغمبرصلي اله عليه و آله و يا امام عليه السلام باشد.,آنچه در محل گذاشتن پاي چيزي باقي مي ماند
29287,جا,جا,13134,Noun,ACT,من جاي او را در اداره گرفتم . او عوض من هم درس خوانده است,نقش يا سهمي که به وسيله ي کس ديگري انجام پذيرد
29288,جا,جا,11104,Noun,LOCATION,در اين اتاق فضا براي بيست دانش آموز وجود دارد,فضا يا محل براي قرار گرفتن چيزي يا کسي
29289,جا,جا,13280,Noun,LOCATION,او ميز را در محل خود قرار داد,نقطه ي  خاصي که يک شيء فيزيکي اشغال کرده است
29290,جا,جا,12733,Noun,TOPS,--نامعلوم--:پشت مکاني در مقابل روبروست *,--نامعلوم--:نقطه يا گستره اي  از فضا *
29291,جا,جا,13844,Noun,BODY,آن جايي که قرمز شده درد مي کند,قسمت يا بخش مشخصي  از بدن
29292,جا,جا,11879,Noun,LOCATION,او اشتباهاً جاي کس ديگري نشسته بود. ما جاههايمان را دو روز پيش رزرو کرديم,"فضايي که براي نشستن( در تئاتر, قطار, هواپيماو غيره) رزرو شده باشد"
29293,جا,جا,15006,Noun,ARTIFACT,جايش راحت نيست,هر مصنوعي که براي نشستن تعبيه شده باشد
29294,جا,جا,12389,Noun,STATE,--نامعلوم--:او سرانجام به جا و مسند قدرتي که مي‌خواست رسيد. *,--نامعلوم--:موقعيت اجتماعي فرد در سلسله مراتب اجتماعي و يا حکومتي را گويند.  *
159749,جا,جا,49261,Noun,LOCATION,سخن:همه لالوها را گشتم ولي چيزي پيدا نکردم. *,سخن:جاهاي دور از ديد و پنهان *
