id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
30202,خط,خط,14520,Noun,COGNITION,--نامعلوم--:خط آن‌ها از ما کاملاً جدا است. *,--نامعلوم--:شيوة فکري يا رفتاري  *
30203,خط,خط,12337,Noun,SHAPE,--نامعلوم--:خط راست. خط منحني *,--نامعلوم--:شکلي که از به دنبال هم قرار گرفتن نقطه‌ها يا حرکت نقطه برروي صفحه به‌وجود مي‌آيد. *
30204,خط,خط,14521,Noun,LOCATION,--نامعلوم--:خط مياني بهترين بازيکنان را دارد. *,--نامعلوم--:محل تقريبي استقرار بازيکنان در ورزش‌هاي گروهي به‌ويژه فوتبال *
30205,خط,خط,12361,Noun,SHAPE,--نامعلوم--:خط‌ها و چين و چروک صورت او نشان از گذراندن عمري طولاني است. *,--نامعلوم--:چين خوردگي‌هاي پوست يا سطوح صاف ديگر را گويند. *
30206,خط,خط,11852,Noun,LOCATION,رزمندگان تازه نفس به خط اعزام شدند,جلوترين منطقه ي درگيري با دشمن
30207,خط,خط,14518,Noun,LOCATION,--نامعلوم--:خط افق. خط ساحل *,--نامعلوم--:محدوده‌اي که به‌عنوان حد فاصل و مرز بين دو بخش در نظر گرفته مي‌شود. *
30208,خط,خط,10060,Noun,ATTRIBUTE,--نامعلوم--:پارچه‌اي با راه‌هاي قرمز خريد. *,--نامعلوم--:قسمت‌هايي از پارچه با رنگي متفاوت از زمينه که به‌صورت نوار است. *
30209,خط,خط,14522,Noun,BODY,--نامعلوم--:خط و خال در ادبيات عاشقانه نشانة زيبايي است.  *,--نامعلوم--:موي تازه‌روييده در صورت به‌ويژه کنار گوش يا پشت لب که در ادبيات عاشقانه نشانة زيبايي است. *
30210,خط,خط,37285,Noun,COMMUNICATION,--ازخودم--:فرهنگستان زبان و ادب فارسي به عنوان نهاد رسمي، رسم الخط فارسي را تدوين کرده است. *,--ساير--:طرز نگارش نويسه‌هاي هر يک از خطوط متداول در جهان *
30211,خط,خط,14515,Noun,ARTIFACT,--نامعلوم--:به خطوط انتقال برق دقت کنيد.  *,--نامعلوم--:سيم‌هاي انتقال‌دهندة جريان الکتريسيته  *
30212,خط,خط,14512,Noun,ARTIFACT,--نامعلوم--:ماشين‌ها بايد توي خط خود حرکت کنند. *,--نامعلوم--:محدودة بين دو نشانة موازي ممتد يا مقطع در خيابان که خودرو بايد درون آن حرکت کند. *
30213,خط,خط,14283,Noun,ARTIFACT,من خط را انتخاب مي کنم,طرفي از سکه که داراي شکل يا تصوير نيست
30214,خط,خط,14507,Noun,COMMUNICATION,--نامعلوم--:يکي از رشته‌هاي تخصصي در باستان‌شناسي خط‌شناسي باستاني است. *,--نامعلوم--:نشانه‌هايي که براي نوشتن در هر زباني به‌کار مي‌روند. *
30215,خط,خط,13095,Noun,COMMUNICATION,--نامعلوم--:نامه‌هاي محرمانه جنگي با کد نوشته مي‌شوند تا امنيت بالاتري داشته باشند. *,--نامعلوم--:پيام و مطلبي نوشتاري به شخص يا سازماني که درون پاکت مي‌گذارند و پست يا شخصي به گيرنده مي‌رساند.  *
30216,خط,خط,14508,Noun,COMMUNICATION,--نامعلوم--:دست‌خط او خيلي بد است. *,--نامعلوم--:شکل خاصي که هر شخص با شيوة خود، نشانه‎هاي نوشتاري را مي‌نويسد. *
30217,خط,خط,13277,Noun,LOCATION,--نامعلوم--:استوا يک خط فرضي است. *,--نامعلوم--:مکاني فضايي که به‌وسيلة گسترة يک ‌عدي واقعي يا فرضي تعريف مي‌شود. *
30218,خط,خط,14516,Noun,ARTIFACT,--نامعلوم--:خط خودروي سمند نيز راه‌اندازي شد. *,--نامعلوم--:مجموعة دستگاه‌هاي صنعتي که براي توليد يک فرآورده در مراحل پشت سر هم به‌کار مي‌روند. *
30219,خط,خط,14998,Noun,COMMUNICATION,--نامعلوم--:در مرس از خط و نقطه استفاده مي‌شود. *,--نامعلوم--:علامتي در الفباي مرس که کشيده‌تر از نقطه است. *
30220,خط,خط,14510,Noun,COMMUNICATION,او خطي را روي زمين کشيد تا مرز مشخص گردد,نشانه اي باريک و بلند بر روي يک سطح
30221,خط,خط,11864,Noun,LOCATION,خط سعادت آباد انقلاب. خط اصفهان تهران,مسير ويژه ي رفت و آمد پيوسته ي يک يا چند وسيله ي نقليه
30222,خط,خط,14519,Noun,LOCATION,--نامعلوم--:فاصلهٔ نقاط بر روي خط استوا از قطب‌هاي شمال و جنوب به يک اندازه است. *,--نامعلوم--:هر يک از مدارها يا نصف‌النهارهاي فرضي کرة زمين.  *
30223,خط,خط,13118,Noun,COMMUNICATION,--نامعلوم--:خط سوم صفحة 20 را نگاه کنيد. *,--نامعلوم--:مجموعه‌کلماتي که روي يک صفحه به‌صورت افقي يا عمودي و منظم نوشته شده‌اند. *
30224,خط,خط,43075,Noun,SHAPE,--ازخودم--:آرايشگر خط چشم پهني براي عروس کشيد تا چشمانش درشت‌تر به نظر بيايند. *,--ازخودم--:خطي که روي پلک (معمولاً پلک بالا) مي‌کشند تا در فرم چشم تغيير ايجاد کنند. *
30225,خط,خط,14513,Noun,ARTIFACT,--نامعلوم--:خط ميني‌بوسراني انقلاب به آزادي برچيده شد. *,--نامعلوم--:يک يا تعدادي وسيلة نقليه که در مسيري خاص پيوسته رفت‌وآمد مي‌کنند. *
30226,خط,خط,11426,Noun,COMMUNICATION,--نامعلوم--:خط تلفن اشغال است *,--نامعلوم--:مسير يا مجراي ارتباطي براي تلفن، فاکس و مانند آن‌ها *
30227,خط,خط,27612,Noun,GROUP,سربازان با اسلحه هايشان در يک خط  جلو آمدند*بايد توي صفي که آنجاست بايستي تا نوبتت بشود,افراد يا چيزهايي که کنار يکديگر به صورت منظم قرار گرفته اند
30228,خط,خط,14514,Noun,ARTIFACT,--نامعلوم--:خط گاز *,--نامعلوم--:مجراي انتقال يا جابجايي مواد سوختي که با استفاده از لوله ساخته مي‌شود.  *
30229,خط,خط,14511,Noun,COMMUNICATION,--نامعلوم--:خطوطي که در خيابان‌ها رسم مي‌کنند براي نظم بخشيدن به سيستم شهري است. *,--نامعلوم--:علامت ممتد يا مقطع در خيابان براي هدايت و تنظيم رفت‌وآمد خودروها *
