id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
30884,دوره,دوره,10194,Noun,COMMUNICATION,دوره ي پنجم روزنامه ي اطلاعات در آرشيو موجود نبود.,تمام شماره هاي يک روزنامه يا مجله در طول يک سال
30885,دوره,دوره,10193,Noun,GROUP,دوره ي فرهنگ دهخدا,مجموعه مجلدات يک کتاب چند جلدي
30886,دوره,دوره,10362,Noun,ACT,--نامعلوم--:دوره آموزش آشپزي به مدت يک هفته رايگان است *,--نامعلوم--:جلسه ي مرتب و پيوسته براي انجام دادن فعاليتي *
30887,دوره,دوره,13706,Noun,TIME,دوره ي صلوات,هر بار گرداندن چيزي مانند تسبيح
30888,دوره,دوره,10192,Noun,TIME,دوره ي آش داريم,مهماني اي که توسط گروهي ثابت و در فاصله ي زماني معين در خانه ي يکي از آنها برگزار مي شود
30889,دوره,دوره,12680,Noun,TIME,دوره‌ي زمين شناسي شامل يازده دوره است. *عصر يخبندان يا عصر يخي دوره دراز مدت کاهش دماي آب و هواي زمين است.,واحد زمان در زمين شناسي و يا هر يک از تقسيم بندي‌هاي زماني گذشته‌ي زمين که کوتاه‌تر از دوران است.
30890,دوره,دوره,10191,Noun,TIME,دوره‌ي ابتدايي را در دبستان نيايش گذراند.,بخشي از زمان تحصيل را گويند.
30891,دوره,دوره,10634,Noun,ACT,دوره ي آموزش خياطي مخصوص بانوان است,مجموعه آموزشهاي معين که در مدت زماني خاص به کسي داده مي شود
30892,دوره,دوره,12681,Noun,TIME,--نامعلوم--:دوره احمد شاه مردم در چه وضعي بودند.  * --نامعلوم--:عصر پهلوي را يادتان هست؟ *,--نامعلوم--:مدت زماني که به خاطر حضور فردي تاثيرگذار در طي آن يا واقعه  و رخدادي برجسته شناخته شده‌است. *
30893,دوره,دوره,10638,Noun,ACT,"دوره ي درسها, قبل از امتحان ضروري است",مطالعه کردن مطلبي معمولاً به صورت تند و گذرا جهت يادآوري
30894,دوره,دوره,29919,Noun,ARTIFACT,کناره قالي پاره شد.*دور نان معمولا چون خمير است دور ريخته مي شود.,باريکه اي نزديک به کنار هر شيئ
30895,دوره,دوره,10264,Noun,TIME,--نامعلوم--:دراين روزگار و دوران پرآشوب همه در انتظار صلحي جهاني‌اند. * سخن:بچه‌هاي اين دوره‌و‌زمانه ختم هستند *,--نامعلوم--:مقطعي از زمان داراي ويژگي‌هاي خاص را گويند. *
30896,دوره,دوره,13141,Noun,EVENT,--نامعلوم--:من چندين بار اين مسئله را به شما تذکر دادم.  * --نامعلوم--:نرده‌ها را دو دست رنگ زدند. *,--نامعلوم--:يک نمونه يا مورد از وقوع يک رويداد را گويند. *
30898,دوره,دوره,12603,Noun,TIME,طي دوره  زماني سي ساله دولت توانست به برخي از  اهداف خود دست‌يابد.,مقدار يا طول معيني از زمان را گويند.
