id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
31099,راه,راه,10059,Noun,ATTRIBUTE,--نامعلوم--:هنوز راه زيادي نرفته بوديم. *,--نامعلوم--: مسيري که براي رسيدن از جايي به جاي ديگر پيموده مي‌شود.  *
31100,راه,راه,11357,Noun,COGNITION,تنها شقي که براي من باقي مي ماند رد اين درخواست است,يکي از دو يا چند حالت ممکن که در مورد يک مسئله وجود دارد
31101,راه,راه,12858,Noun,ACT,--نامعلوم--:راه من با راهي که او براي زندگيش برگزيده يکسان نيست *,--نامعلوم--:روش زندگي *
31102,راه,راه,12704,Noun,ACT,--نامعلوم--:راه صحيح رسيدن به موفقيت، داشتن اراده و پشتکار قوي است. * --ساير--:اين نحو کار کردن تو را به جايي نمي‌رساند. *,--نامعلوم--:چگونگي حصول نتيجه يا دستيابي به هدف *
31103,راه,راه,12855,Noun,ARTIFACT,راه روستا نياز به تعميرات اساسي دارد,قسمتي از سطح زمين که براي رفت و آمد يا حمل ونقل آماده شده است
31104,راه,راه,12894,Noun,ARTIFACT,--نامعلوم--:او بدنبال راه خروج مي گردد *,--نامعلوم--:محل گذري که براي رفتن از مکاني به مکاني ديگرساخته  شده است *
31105,راه,راه,13622,Noun,COGNITION,پارچه را از راهش ببريد.,جهت درست پارچه براي برش آن را گويند.
31106,راه,راه,10062,Noun,COGNITION,"براي جارو زدن , راه فرش مهم است","جهت خواب پرز فرش, پارچه ي مخمل و مانند آنها"
31107,راه,راه,13289,Noun,LOCATION,--نامعلوم--:او راه رفتن به خانه را نمي داند.  * --نامعلوم--:بهترين مسير را قبل از شروع مسافرت بيابيد تا در زمان و هزينه صرفه جويي کنيد. *,--نامعلوم--:خطي که به نقطه يا مکاني منتهي مي شود *
31108,راه,راه,12951,Noun,BODY,عفونت هاي کليوي اغلب از طريق ورود ميکروب از راه مجراي ادراري شکل مي گيرد.,کانالي در بدن که از طريق آن چيزي حرکت مي کند
31109,راه,راه,13307,Noun,OBJECT,سيل همه ي خانه هاي توي راهش را ويران نموده بود,خطي که در طول آن چيزي حرکت مي کند
31110,راه,راه,10061,Noun,OBJECT,تا شب دو سه راه مسافر مي برم و مي آورم,واحد انجام عملي که به صورت رفت و برگشت در مسير مشخصي است
31111,راه,راه,10060,Noun,ATTRIBUTE,--نامعلوم--:پارچه‌اي با راه‌هاي قرمز خريد. *,--نامعلوم--:قسمت‌هايي از پارچه با رنگي متفاوت از زمينه که به‌صورت نوار است. *
71209,راه,راه,11469,Noun,COMMUNICATION,رمز رسيدن به موفقيت خودشناسي است.,اطلاعات لازم براي موفقيت و پيشرفت در کار يا هدفي
