id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
21078,زدن,زدن,18987,Verb,contact,او شروع کردن به گيتار زدن.,به آرامي کشيدن و به حرکت در آوردن
21079,زدن,زدن,8542,Verb,possession,--نامعلوم--:دزدي مي کردي بهتر بود تا از اون بي غيرت پول قرض کني. *,--نامعلوم--:مال ديگري را ستاندن *
21082,زدن,زدن,8210,Verb,motion,--نامعلوم--:قلبم به تندي مي تپيد. *,--نامعلوم--:منقبض و منبسط شدن قلب *
21083,زدن,زدن,9436,Verb,contact,وقتي دور عقرب آتش بگذارند خودش را نيش مي زند.,فرو کردن نيش توسط جانوران گزنده در بدن موجود زنده ديگر و بي حس کردن و يا مکيدن خون آن موجود
21084,زدن,زدن,8657,Verb,contact,--نامعلوم--:هرچه تقلا کردم کارم درست نشد. *,--نامعلوم--:کوشش و تقلاي بسيار براي کاري *
21085,زدن,زدن,8662,Verb,change,--نامعلوم--:تمام مواد را با هم مخلوط مي کنيم. *,--نامعلوم--:مخلوط کردن دو يا چند چيز با هم. *
21086,زدن,زدن,8438,Verb,contact,--نامعلوم--:من آن اسم را از ليست خط زدم. *,--نامعلوم--:حذف کردن چيزي *
21091,زدن,زدن,8537,Verb,contact,بهتر است آن خوشه ها را درو کني.,بريدن و جمع آوري محصولات کشاورزي و مانند آن
21092,زدن,زدن,9283,Verb,contact,--نامعلوم--:تابلو را به ديوار زد. *,--نامعلوم--:چيزي را به جايي آويختن *
21094,زدن,زدن,8659,Verb,contact,--نامعلوم--:از بس کتکش زده بودند که از حال رفته بود. * سخن:مادر گفت که بعداز بيست‌وپنج سال پدر دست به رويش بلند کرده و ناسزا گفته است.  *,--نامعلوم--:براي آزار بدني کسي به او با ضربه زدن *
21096,زدن,زدن,8660,Verb,contact,دو شاخه را به پريز زدم اما دستگاه روشن نشد.,چيزي را به چيزي ديگر وصل کردن يا وارد چيز ديگري کردن
21097,زدن,زدن,8655,Verb,creation,--نامعلوم--:نزديک خانه شان يک مغازه زدند. *,--نامعلوم--:بنا کردن *
21098,زدن,زدن,8654,Verb,contact,--نامعلوم--:با دست به شيشه پنجره زد. *,--نامعلوم--:ضربه زدن به کسي يا چيزي با دست،پا، يا وسيله *
21099,زدن,زدن,8658,Verb,contact,يواشتر برو وگرنه مي خوري به ماشين جلويي.,برخورد کردن اتفاقي چيزي با چيز يا کسي ديگر
24415,زدن,زدن,9208,Verb,creation,--نامعلوم--:پيرمرد سازش را برداشت و نواخت. او گيتار مي زند. *,--نامعلوم--:به صدا درآوردن ساز موسيقي *
25599,زدن,زدن,10438,Noun,ACT,زدن تير به هدف کار ساده اي نيست,عمل  تماس برقرار کردن ميان دو چيز
150624,زدن,زدن,9817,Verb,contact,--نامعلوم--:سرانجام ماشين را در کوچه اي پارک کرد * عميد:ماشينش را بد جايي زده بود. *,--نامعلوم--:ماشين را در گوشه اي مستقر کردن *
150625,زدن,زدن,7912,Verb,contact,--نامعلوم--:هر روز صورتش را اصلاح مي کرد. * عميد:ريشش را زد. *,--نامعلوم--:ستردن موهاي سر يا بدن با تيغ و مانند آن *
159043,زدن,زدن,9019,Verb,contact,--نامعلوم--:يه کم پماد بمال روي زخمت. *,--نامعلوم--:ماده‌اي را بر روي سطح چيزي به‌صورت لايه‌اي پخش کردن. *
