id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
32617,شير,شير,14005,Noun,BODY,غذاي اصلي کودکان تا 2 سالگي بايد شير مادر باشد,مايعي که از غده هاي پستاني انسان ماده ترشح مي شود و به مصرف غذاي کودک مي رسد
32618,شير,شير,14014,Noun,LOCATION,--نامعلوم--:وارد برج اسد شده‌ايم *,--نامعلوم--:برج پنجم از برج هاي دوازده گانه، پس از سرطان و پيش از سنبله برابر با مرداد *
32619,شير,شير,14012,Noun,GROUP,شيران دلاور عرصه هاي نبرد حق بر باطل,شخص شجاع ، دلاور و پهلوان
32620,شير,شير,14006,Noun,FOOD,او براي پيدا کردن شير همه ي داروخانه ها را زير پا گذاشت,ماده اي خوراکي شامل شيري که آب آن را گرفته اند و به صورت گرد درآمده و براي تکميل غذاي شيرخوار مواد مغذي ديگري به آن افزوده مي شود
32621,شير,شير,14007,Noun,ARTIFACT,آن شير را از روي قفسه بده تا براي بچه غذا درست کنم,قوطي حاوي شير خشک
32622,شير,شير,14013,Noun,ARTIFACT,کاپيتان تيم در ابتداي مسابقه شير را براي تعيين دروازه انتخاب کرد.,سمتي از سکه که اسکچ، نشان يا طرحي گرافيکي روي آن حک شده است.
32623,شير,شير,14015,Noun,BODY,حيوانات اگر دچار سوتغذيه باشند از شير دادن به فرزندشان امتناع مي کنند,مايعي خوراکي که از پستان  پستانداران ترشح مي شود و نوزادان آنها براي تغذيه مي خورند
32624,شير,شير,11682,Noun,FOOD,--نامعلوم--:شير را گرم کن و بعد بخور *,--نامعلوم--:مايعي خوراکي که از گاو و گوسفند مي‌دوشند. *
32625,شير,شير,14011,Noun,SUBSTANCE,شيره ي درخت لباسش را کثيف کرد,مايعي سفيد که در ساقه ي بعضي از گياهان وجود دارد
32626,شير,شير,14008,Noun,ARTIFACT,شير توي يخچال است,قوطي يا بطري حاوي شير گاو يا گوسفند
32627,شير,شير,14009,Noun,ANIMAL,--نامعلوم--:شير  به طرف گاوها حمله برد *,--نامعلوم--:جانور پستاندار گوشت خوار بزرگ از گربه سانان، با پشم کوتاه زرد تا خرمايي که جنس نر آن در اطراف سر و گردن يال سياه يا خرمايي دارد *
32628,شير,شير,14010,Noun,ARTIFACT,شير آب  توي حياط يخ زده است,هر وسيله اي که با بستن و باز کردن دهانه يا دريچه اي براي تنظيم يا قطع و وصل جريان مايع يا گاز به کار مي رود
143856,شير,شير,45276,Noun,OBJECT,ويکي پديا:صورت فلکي اسد در فصل بهار در نيمکرة شمالي ودر پاييز در نيمکرة جنوبي قابل‌مشاهده‌ است. *,ويکي پديا:نام يکي از صورت‌هاي فلکي منطقةالبروجي است. *
