id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
24991,مهر,مهر,14665,Noun,ARTIFACT,--نامعلوم--:مهرش را روي کاغذ زد. *,--نامعلوم--:ابزاري فلزي، پلاستيکي، چوبي و مانند آن‌ها که علامت يا نامي به‌طور معکوس بر آن حک مي‌کنند و با جوهري کردن و فشار دادن آن روي هر سطح صافي مانند کاغذ نقش روي آن به سطح منتقل مي‌شود.  *
24992,مهر,مهر,14667,Noun,ARTIFACT,--نامعلوم--:مهرها در گوشة مسجد بود.  * --نامعلوم--: از کربلا برايمان مهر متبرک به تربت امام حسين آوردند. *,--نامعلوم--:قطعه‌اي از گل خشک يا سنگ که هنگام سجده پيشاني را برروي آن مي‌گذارند. *
24993,مهر,مهر,14668,Noun,COMMUNICATION,--نامعلوم--:مهر سر نامه گشوده شده‌بود. *,--نامعلوم--:نقشي که بر جسم نقش‌پذير مانند موم مي‌زنند و آن را بر چيزي مانند در خزانه يا سر نامه مي‌چسبانند تا اگر ديگري آن‌ها را باز کند مشخص باشد. *
24994,مهر,مهر,14666,Noun,COMMUNICATION,--نامعلوم--:اين برگه مهر ندارد و بنابراين فاقد اعتبار است. * --نامعلوم--: اجراي اين حکم نيازمند مهر و امضاي رئيس شرکت است. *,--نامعلوم--:نقش يا اثر و نشانة ابزاري که علامت يا عنوان يا نامي روي آن حک شده و با جوهري کردن آن و سپس با فشار دادن روي کاغذ، آن نقش يا اثر برروي کاغذ باقي مي‌ماند. *
35432,مهر,مهر,11660,Noun,FEELING,او نمي‌دانست چگونه محبت خود را بيان نمايد,احساس مثبت دوست داشتن
35433,مهر,مهر,13157,Noun,FEELING,--نامعلوم--:بچه ها نياز به عشق پدر و مادر دارند  *,--نامعلوم--:احساسات عاطفي مثبت ناشي از توجه و علاقه *
35434,مهر,مهر,14663,Noun,TIME,--نامعلوم--:مهرماه ماه بازگشايي مدارس است. *,--نامعلوم--:ماه هفتم از سال شمسي، اولين ماه از فصل پاييز که پس از شهريور و پيش از آبان قرار گرفته و 30 روز دارد. *
35435,مهر,مهر,14664,Noun,POSSESSION,مهر او 14 سکه است,پول، طلا، ملک و مانند آنها که هنگام عقد نکاح، زوج به زوجه مي پردازد يا منتقل مي کند يا تعهد مي کند که آن را بپردازد
35436,مهر,مهر,14662,Noun,OBJECT,--نامعلوم--:خورشيد ستاره‌اي کوچک است. *,--نامعلوم--:ستاره‌اي که در مرکز منظومة شمسي قرار دارد و زمين و سيارات ديگر حول آن مي‌چرخند. *
105377,مهر,مهر,33691,Noun,PERSON,--نامعلوم--:به‌درستي نمي‌شود گفت آيا ميترا خداي آفريدگار بوده يا پيامبر، آنچه مي‌توان از  او در باور پرستندگانش دريافت اين است که او ميانجي يا رهايي‌بخشي در ميان مردم بوده و در زمان نبودنش نيز دوستدارانش بايد براي بازگشتش به زمين بردبار مي‌بودند. *,--نامعلوم--:ميثره از ايزدان باستاني هندوايراني پيش از روزگار زرتشت است، که معني پيمان و دوستي و خورشيد نيز مي‌دهد و نماد او خورشيد است. *
