id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
17323,پايه,پايه,1606,Adjective,relation,آموزش ابتدايي. * زمان برگزاري مراسم آغازين ،اگرچه اندک است ليکن به خاطر تداوم و تنوع برنامه ها از اهميّت والايي برخوردار است.,مربوط به ابتدا و آغاز هر چيز
37077,پايه,پايه,12294,Noun,RELATION,--نامعلوم--:حرفهاي او هيچ مبنايي ندارد *,--نامعلوم--:اصلي که چيز ديگري بر آن بنا مي شود *
37078,پايه,پايه,11358,Noun,COGNITION,--نامعلوم--:اساس استدلال او بر يک فرض بنا شده بود *,وب:فرضي که چيزي بر آن بنا يا ايجاد مي‌شود يا از آن نشأت مي‌گيرد، به وجود مي‌آيد و دوام مي‌يابد. *
37079,پايه,پايه,12388,Noun,STATE,مقام او در جامعه تنزل يافته‌است.,موقعيت فرد در سلسله‌مراتب اجتماعي را گويند.
37081,پايه,پايه,13238,Noun,GROUP,پايه هاي اول هميشه شلوغتر بوده اند,گروهي از دانش آموزان که با هم آموزش مي بينند
37082,پايه,پايه,12260,Noun,QUANTITY,در عددنويسي اعشاري مبنا ده است,عددي که در هر دستگاه عددنويسي پايه قرار مي گيردو ارزش مکاني ارقام برحسب آن تعيين مي شود
37083,پايه,پايه,11098,Noun,ARTIFACT,اسلحه ها را روي پايه اي قرار مي دهند,تکيه گاهي که چيزها را بر روي آن مي گذارند
37084,پايه,پايه,10848,Noun,ARTIFACT,آباژور افتاد و پايه اش شکست.,قسمت پايين و تکيه گاه  هر چيز
72263,پايه,پايه,10191,Noun,TIME,دوره‌ي ابتدايي را در دبستان نيايش گذراند.,بخشي از زمان تحصيل را گويند.
155307,پايه,پايه,48051,Noun,COMMUNICATION,ويکي پديا:طبق اعتقاد برخي اساتيد مفهوم نت شاهد در موسيقي ايراني همان تونيک در موسيقي غربي است. *,ويکي پديا:نخستين درجه در گام دياتونيک است. *
