id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
37478,پيوند,پيوند,12369,Noun,STATE,بعد از اختلاف مالي رابطه ام با او قطع شد,وضعي که بين دو يا چند نفر دوستي و مراوده وجود دارد
37479,پيوند,پيوند,14711,Noun,ACT,--نامعلوم--:بيمارستان مجهز به امکانات پيوند اعضا است.  * --نامعلوم--:عمل پيوند عضو در ايران انجام مي‌شود. *,--نامعلوم--:برداشتن بافت يا عضوي از بدن و قراردادن در جايي ديگر از بدن همان فرد يا فردي ديگر را گويند. *
37481,پيوند,پيوند,11617,Noun,EVENT,ازدواج آنها در تالار بزرگي برگزار گرديد,مراسمي اجتماعي  که به مناسبت آغاز زندگي مشترک مرد و زني با دعوت از مهمانان و شادي  همراه است
37482,پيوند,پيوند,12457,Noun,STATE,ارتباط صنعت و دانشگاه از لوازم پيشرفت است.,وضع مربوط بودن و داشتن کنش و واکنش متقابل را گويند.
37483,پيوند,پيوند,13002,Noun,COGNITION,شرطي سازي نوعي يادگيري از طريق برقراري ارتباط بين مطالب يادگرفته شده است,فرايند به هم نزديک نمودن ايده ها يا رخدادها در ذهن
37484,پيوند,پيوند,14710,Noun,ACT,پيوندهاي گلابي به سيب نگرفته اند,اتصال جوانه اي از يک درخت (پيوندک) با ساقه ي درخت ديگر (پايه) براي بهتر کردن جنس گل يا ميوه
37485,پيوند,پيوند,10308,Noun,FEELING,رشته ي الفت بگسست,رابطه ي بين دو يا چند نفر
38708,پيوند,پيوند,26373,Noun,ARTIFACT,رابطه ي بين دو کوپه ي قطار تنها به کمک يک سيم بوکسل برقرار شده است,هرگونه رابطه با اتصالي که بين دو وسيله،يا قطعه وجود داشته باشد
65892,پيوند,پيوند,14712,Noun,PHENOMENON,تعداد پيوندهاي شيميايي در مولکول‌هاي مختلف متفاوت است و از يک پيوند در مولکول‌هاي ساده دو اتمي تا پيوندهاي بسيار در ماکرومولکول‌ها را شامل مي‌شود.,نيرويي که اتم‌ها يا مولکول‌ها را کنار هم نگه مي‌دارد
117995,پيوند,پيوند,36131,Noun,COMMUNICATION,از حرف ربط «هم» به معناي «نيز» مي‌توان براي عطف دو بند استفاده نمود.,سخني را به سخني بازگرداندن و آن را با حروف ربط به هم پيوند دادن
