id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
23671,کشيدن,کشيدن,8607,Verb,contact,--نامعلوم--:مثلثي قائم الزاويه رسم کنيد که وتر آن پنج سانتي متر باشد. *,--نامعلوم--:شکلي را روي کاغذ يا امثال آن با قلم ايجاد کردن *
23672,کشيدن,کشيدن,8931,Verb,creation,از تهران تا قم جاده جديدي کشيدند.,ساختن راه و مانند آن
23673,کشيدن,کشيدن,8929,Verb,contact,--نامعلوم--:دندانش را به سختي کشيدند. * سخن:خواستم او را از گرداب به‌در آورم. *,--نامعلوم--:چيزي را از جايي خارج کردن *
23674,کشيدن,کشيدن,8927,Verb,contact,--نامعلوم--:دستت را بکش روي صورتت. *,سخن:با دست چيزي را مالش دادن *
23675,کشيدن,کشيدن,16285,Verb,contact,يک دسته جعفري مي خري، آبش را مي گيري، سر مي کشي.,خارج کردن محتويات (معولا مايع يا عصاره) چيزي با فشردن آن
23676,کشيدن,کشيدن,17050,Verb,social,دو شاخه پريز را کشيد و راديو خاموش شد.,تمام کردن ارتباط بين دو چيز
23677,کشيدن,کشيدن,8361,Verb,weather,--نامعلوم--:اين پارچه آب را خوب جذب مي کند. *,--نامعلوم--:به درون کشيدن *
23678,کشيدن,کشيدن,9149,Verb,stative,--نامعلوم--:من از پلکاني بالا مي روم که نمي دانم به کجا منتهي مي شود. *,--نامعلوم--:به پايان رسيدن *
23679,کشيدن,کشيدن,8928,Verb,change,اين نخ را که بکشي چراغ روشن مي شود.,داراي کشش کردن
23680,کشيدن,کشيدن,8933,Verb,creation,برام يه گوسفند بکش.,طرحي را روي کاغذ رسم کردن
23681,کشيدن,کشيدن,8932,Verb,stative,--نامعلوم--:ميوه ها را کشيد و قيمت را گفت. *,--نامعلوم--:وزن چيزي را اندازه گرفتن *
23683,کشيدن,کشيدن,8922,Verb,contact,آن بسته را روي زمين نکش,چيزي را با وارد کردن فشار روي سطح حرکت دادن
23684,کشيدن,کشيدن,8921,Verb,body,--نامعلوم--:راحت باش، پاهايت را دراز کن. *,--نامعلوم--:ادامه يا امتداد دادن *
37942,کشيدن,کشيدن,15005,Noun,ACT,ترسيم اشکال هندسي با استفاده از شابلون هم سريع تر است و هم دقيق تر.,تصوير شيئ يا نقش يا نشانه اي را بر روي سطحي پديد آوردن
37943,کشيدن,کشيدن,10434,Noun,ACT,"او با کشش شديد و ناگهاني ,چوب را از داخل زمين بيرون آورد",اعمال نيرو براي آوردن چيزي به طرف خود يا همراه با خود
51423,کشيدن,کشيدن,18984,Verb,contact,کتاب را از دستم کشيد.,با شدت چيزي را گرفتن يا برداشتن
51531,کشيدن,کشيدن,18989,Verb,contact,--نامعلوم--:دستت را بکش! * سخن:گفت: پا واپس کشيدي تو چرا؟/ پاي را واپس مکش پيش اندرآ.  *,--نامعلوم--:حرکت دادن چيزي به سمت عقب و جاي اولش *
51532,کشيدن,کشيدن,18991,Verb,contact,زندانيان را شکنجه مي کردند و بدنشان را به منظور شکنجه مي کشيدند.,کشيدن در جهات مختلف
51882,کشيدن,کشيدن,8569,Verb,consumption,--نامعلوم--:پشت سر هم سيگار دود مي کرد. *,--نامعلوم--:مصرف کردن سيگار يا مواد مخدر *
