id,search_value,defaultValue,synset,pos,semanticCategory,example,gloss
26151,گل,گل,14235,Noun,SUBSTANCE,--نامعلوم--:گل‌هايي که به کفش او چسبيده بود همه جا را کثيف کرد. *,--نامعلوم--:مخلوط چسبنده‌اي از آب و خاک نرم *
26152,گل,گل,14236,Noun,SUBSTANCE,--نامعلوم--:گل را در طبقات رسوبي مي‌توان به راحتي تشخيص داد. *,--نامعلوم--:ته نشست‌هاي جامد و رسي طبقات مختلف پوسته زمين که سختي آن‌ها از سنگ‌ها کمتر است و معمولاً با ناخن خط برمي‌دارند. *
38349,گل,گل,14838,Noun,LOCATION,مغز هندوانه را خودش خورد,دروني‌ترين بخش چيزي
38350,گل,گل,11967,Noun,PERSON,--نامعلوم--:محبوب من بر روي زمين اوست.  *,--نامعلوم--:کسي که او را دوست دارند و به‌عنوان کلمه‌اي عاشقانه از آن استفاده مي‌شود. *
38351,گل,گل,15178,Noun,ACT,--نامعلوم--:گل‌هاي زده آن‌ها بيشتر از تيم همشهريشان است. *,--نامعلوم--:امتياز به‌دست‌آمده از وارد کردن توپ در دروازه. *
38352,گل,گل,14233,Noun,ARTIFACT,--نامعلوم--:گل‌هاي قالي به رنگ لاکي است. *,--نامعلوم--:نقش‌هاي روي قالي   *
38353,گل,گل,14234,Noun,QUANTITY,--نامعلوم--:چند گل زغال براي درست کردن آتش *,--نامعلوم--:واحد شمارش زغال سرخ‌شده *
38354,گل,گل,12116,Noun,PLANT,--نامعلوم--:شکوفه‌ها زيبايي خاصي به باغ داده بودند. *,--نامعلوم--:اندام توليد مثل جنسي گياهان نهان‌دانه که شامل بخش‌هاي زايشي (پرچم و مادگي) و پوششي (گلبرگ و کاسبرگ) است. *
68879,گل,گل,29108,Noun,PLANT,--نامعلوم--:براي تولدش چند شاخه گل هم خريدم. * --نامعلوم--: او گل‌وگياه زيادي در گلخانه‌اش دارد. *,--نامعلوم--:هر نوع گياه زينتي کوچک که به‌جهت زيبايي کاربرد دارد. *
74311,گل,گل,16451,Noun,ARTIFACT,--نامعلوم--:ماري جوانا خاصيت توهم‌زايي فراواني دارد. *,--نامعلوم--:گل خشک گياه شاه‌دانه که از آن به‌عنوان محرک و داروي روان‌گردان طبيعي استفاده مي‌شود. *
103319,گل,گل,33018,Noun,ARTIFACT,--نامعلوم--:او گل را با مهارت در دستش قايم کرد. *,--نامعلوم--:مهره‌اي که در بازي گل‌ياپوچ به‌کار مي‌رود. *
