farsnet_word,sense_frequency
خط,28
برداشتن,25
سر,24
گرفتن,23
جا,20
بار,19
کشيدن,19
زدن,19
کار,18
دست,17
دم,16
طرح,15
راه,14
درجه,14
بخش,14
خوردن,14
دوره,14
پشت,13
شير,13
بند,13
رسيدن,12
چيز,12
آرام,12
زبان,12
دسته,12
انداختن,12
حساب,11
نگه‌داشتن,11
ميدان,11
گاز,11
جهان,11
ارتباط,11
پريدن,11
سرويس,11
بستن,11
پذيرفتن,11
گل,11
رشته,11
کرم,11
دنيا,11
اثر,11
واحد,11
گذشتن,11
آب,11
برگرداندن,10
شانه,10
ميزان,10
مهر,10
نمونه,10
خانه,10
پايه,10
بازي,10
دل,10
ساختن,10
خواستن,10
نتيجه,10
مغز,10
ايستادن,10
پيوند,10
خواندن,10
نظر,9
کنترل,9
تار,9
سال,9
بزرگ,9
زندگي,9
بردن,9
سهم,9
سرباز,9
ساعت,9
خير,9
مثبت,9
زمين,9
کندن,9
صورت,9
پرده,9
سايه,9
فهميدن,9
شکستن,9
روز,9
کف,9
جمع کردن,9
زمان,9
دور,9
انقلاب,9
رفتن,9
گشتن,9
گروه,9
زير,9
صحنه,8
عشق,8
آخر,8
پست,8
سمت,8
ماده,8
خواباندن,8
کل,8
شکل,8
اصل,8
رابطه,8
کار کردن,8
حکم,8
بودن,8
نقطه,8
جمع,8
حال,8
عالم,8
دستي,8
قسمت,8
حاشيه,8
سبک,8
دفتر,8
پا,8
سطح,8
دليل,8
عمل,8
جايگاه,8
محل,8
موقعيت,8
جامعه,8
صاف کردن,8
طرف,8
رشد,8
راست,8
تن,8
رد کردن,8
مرکز,8
شاهد,8
ماندن,8
مستقيم,8
دين,8
سياست,8
روي,8
جريان,8
گذشته,8
سوختن,8
گرده,8
بازار,8
کمک,8
نيرو,8
برپا کردن,8
قرار,8
ترک,8
درهم,8
موضوع,8
جزء,8
تاريخ,7
اول,7
فضا,7
تند,7
دينار,7
نماينده,7
حامي,7
عطف,7
خاک,7
رسيدگي کردن,7
توان,7
مقام,7
جابه‌جايي,7
جمع شدن,7
در,7
قانون,7
نوشتن,7
عامل,7
حد,7
صرف,7
برخورد,7
سالم,7
درست کردن,7
خراب,7
بسته,7
سلام,7
پول,7
تير,7
باز کردن,7
کره,7
جهت,7
صفحه,7
شاسي,7
حق,7
پدر,7
ساده,7
شيلينگ,7
جان,7
دارايي,7
هيئت,7
باز,7
نقش,7
نشستن,7
خوب,7
گذراندن,7
سير,7
تبديل,7
ترکيب,7
منبع,7
جدا شدن,7
امر,7
برنامه,7
به وجود آوردن,7
آدم,7
نسبت,7
شيري,7
آهنگ,7
گيره,7
عمل کردن,7
ميل,7
رسيدگي,7
نفتي,7
شتري,7
خان,7
رو,7
پزو,7
بعد,7
چين,7
شماره,7
صدا,7
محور,7
آوردن,7
ضعيف,7
دادن,7
محيط,6
دال,6
جذب,6
کوتاه,6
حمل,6
مسئله,6
جلودار,6
چک,6
آتش,6
چهره,6
پرداختن,6
بنيان,6
حمله,6
علاقه,6
ستاره,6
تصوير,6
هوا,6
صندوق,6
جا انداختن,6
خرد,6
شب,6
خوابيدن,6
گرد,6
مورد,6
ثابت,6
ترتيب,6
ماه,6
انتها,6
انتقال دادن,6
ارتفاع,6
انگاره,6
ول کردن,6
خمار,6
نمايش,6
مرد,6
چرخيدن,6
دنبال کردن,6
نقل,6
مسير,6
محکم,6
بسته شدن,6
کانال,6
جدول,6
پاک کردن,6
بنياد,6
قدرت,6
قدر,6
کشتي,6
درخشيدن,6
متوجه شدن,6
کوته,6
نهاد,6
جدي,6
طول,6
ملک,6
انسان,6
وجه,6
شرکت,6
خارج کردن,6
لب,6
عنوان,6
اعتبار,6
شور,6
وقت,6
تکرار,6
چاپ,6
توجه,6
سکو,6
بادي,6
روپيه,6
خوبي,6
انباشتن,6
برد,6
مجلس,6
کليد,6
فصل,6
علم,6
تيغ,6
رويه,6
نظام,6
سرمايه,6
رئيس,6
دفاع,6
ابتدا,6
توليد,6
منفي,6
اطلاعات,6
نرم,6
شناسايي,6
عصر,6
پيش,6
نشاندن,6
جام,6
دستور,6
اندازه,6
کاهش,6
ريال,6
بد,6
خزانه,6
چنگال,6
انجام دادن,6
منطقه,6
عمر,6
رديف,6
سو,6
آينده,6
پيچيدن,6
راه انداختن,6
سوزاندن,6
دستگاه,6
پي,6
خبر,6
تور,6
مدعي,6
رد,6
ريختن,6
خاکي,6
برگشتن,6
سنگين,6
ناراحت,6
سيستم,6
نشان,6
صاف,6
هدايت,6
ساختار,6
فشار,6
کانون,6
خطا,6
گرم,6
ظرفيت,6
خارج,5
نور,5
رسمي,5
پاک,5
داده,5
گزارش,5
نوشته,5
فرستادن,5
تمام شدن,5
گوشه,5
بيان,5
محافظ,5
پايين,5
بال,5
تخريب,5
ضربي,5
اجرا کردن,5
نشان دادن,5
فراز آوردن,5
خالي کردن,5
روشن کردن,5
شخصيت,5
هفته,5
دست‌به‌نقد,5
روشن,5
حاصل,5
ضرورت,5
باقي‌مانده,5
اضافه,5
نشانه,5
پايداري,5
کرسي,5
سن,5
چهارپاره,5
مانع,5
درآوردن,5
فرمان,5
سنجيدن,5
دوشيزه,5
سري,5
سختي,5
خارجي,5
بالا کشيدن,5
مثل,5
تمام کردن,5
حاضر,5
حسابي,5
ته,5
کارت,5
بالا زدن,5
سه,5
عضو,5
راندن,5
خطر,5
نوبت,5
دام,5
دامنه,5
ضبط کردن,5
سست,5
کند,5
مدار,5
گردش,5
برگشت,5
مدرک,5
سازمان,5
شبکه,5
نظم,5
نوک,5
انتقال,5
فرهنگ,5
ذکر,5
گوشي,5
پرسشگر,5
جا بازکردن,5
گستردن,5
قطع کردن,5
جايگه,5
مهره,5
سير کردن,5
بلند شدن,5
حضور,5
مسئول,5
واداشتن,5
بهره,5
بن,5
گسترش دادن,5
داغ,5
عسلي,5
جا گذاشتن,5
گبر,5
جا افتادن,5
سرور,5
پايان,5
سخت,5
برق,5
گذاشتن,5
مفهوم,5
دودي,5
عمليات,5
گرفتگي,5
نقاش,5
ساخت,5
ويژگي,5
واگذار کردن,5
بي‌نظمي,5
خاموش,5
سابقه,5
گران,5
آتشدان,5
قبضه,5
فرد,5
حيرت,5
مقاومت,5
روان,5
جنگ,5
مشکل,5
درک کردن,5
دوران,5
جدا کردن,5
مد,5
يکسر,5
بلندي,5
جدا ساختن,5
آباد,5
برعکس,5
تنگ شدن,5
منتقل شدن,5
کلک,5
روش,5
تأييد کردن,5
صبح,5
بررسي کردن,5
فن,5
حالت,5
بررسي,5
ابزار,5
ناحيه,5
کشتن,5
رفتار,5
طراحي,5
جفت,5
مشقت,5
گند,5
قبول کردن,5
پذيرش,5
لخت,5
خنثي,5
قلم,5
سربرآوردن,5
سم,5
سودا,5
طراحي کردن,5
کارگر,5
حفره,5
اشتباه,5
گام,5
ديدن,5
بانک,5
انتشار,5
صفر,5
خدمت,5
نابودي,5
آمدن,5
گونه,5
استفاده,5
پوشاندن,5
افتادن,5
دريده,5
پارک,5
رأي,5
دير,5
ميزبان,5
سوراخ,5
آزادي,5
بچه,5
پخش کردن,5
سپردن,5
خضاب,5
ساکت,5
تعريف,5
تکه,5
شنيدن,5
استقبال,5
کناره,5
استقامت,5
کتاب‌خانه,5
تاباندن,5
استقلال,5
جرم,5
هوشيار,5
تسليم,5
آزاد,5
پر,5
تناسب,5
تشخيص,5
وظيفه,5
فکر,5
پوسته,5
جو,5
خز,5
پرداخت,5
خراب کردن,5
کم,5
حفظ کردن,5
فکر کردن,5
دکوراسيون,5
کرون,5
خراب شدن,5
آبي,5
هسته,5
شکار,5
بورس,5
جلو,5
رضا,5
مولود,5
کپي کردن,5
ذخيره,5
استاد,5
مربي,5
شکارچي,5
وضع,5
ترکمن,5
تخت,5
کوبيدن,5
علامت,5
باب,5
تنظيم کردن,5
آب شدن,5
قرص,5
کاشتن,5
آقا,5
خشن,5
جستن,5
بيرون دادن,5
از بين بردن,5
بيرون کردن,5
زنجيره,5
حلقه,5
امتياز,5
حاکم,5
خلاف,5
زنگ,5
مرگ,5
مجموعه,5
فيلم,5
محرم,5
از بين رفتن,5
تک,5
نيمه,5
سوم,5
قرارداد,5
تيز,5
خشک,5
شيوه,5
پهن,5
پسنديدن,4
پس‌وپيش,4
پانزده دي,4
مهرباني,4
ادامه دادن,4
آذري,4
مهمان,4
ترسيدن,4
پالش,4
عقب,4
پانزدهم دي,4
ادراک,4
آبادان,4
قيام,4
دماوند,4
سوار کردن,4
برش,4
اداره,4
پشتيباني,4
پشتيبان,4
برنده,4
ادا,4
قيد,4
آداب‌ورسوم,4
ادا درآوردن,4
مهاجم,4
ضايع,4
ضبط,4
دوم ارديبهشت,4
اخطار,4
اخلاقي,4
بره,4
داستان,4
دوچرخه‌سوار,4
زيرزباني,4
گوشواره,4
معاون,4
دم‌دار,4
قطر,4
پاياپاي,4
ظهر,4
ياري,4
سرپرست,4
معرفي کردن,4
15 دي,4
مطلب,4
دلار,4
عبارت,4
1 تير,4
بي‌دقت,4
يکرو,4
دلاور,4
پابرهنه,4
سه‌گانه,4
دست کشيدن,4
سخن,4
معماري,4
يار,4
گوينده,4
سرفصل,4
دشواري,4
قوه,4
يواش,4
معلوم,4
بي‌صدا,4
بي‌مزه,4
پايدار,4
قشنگ,4
دم‌کرده,4
بيمه,4
دنا,4
دست زدن,4
مفتي,4
مهار,4
لطف,4
تردست,4
ورودي,4
ورود,4
مشابه,4
طبق,4
گستره,4
ورق,4
وحشتناک,4
تحليل,4
گريزان,4
دراز,4
اجرا,4
بشر,4
سني,4
بست,4
تخته,4
اجازه,4
طبقه,4
بلند کردن,4
تجمع,4
تجديد,4
پزشکي,4
پرکننده,4
مسدس,4
اخترشمار,4
برگ,4
دوش,4
مسخره,4
بزرگي,4
مسئوليت,4
گسترده شدن,4
بلند,4
بي‌توجهي,4
سازه,4
تجاوز کردن,4
لطيف,4
درباز,4
منتقل کردن,4
گاو,4
برداشت,4
برائت,4
تصديق داشتن,4
ديلم,4
تصديق کردن,4
بر,4
کپي نمودن,4
کپي,4
ارزش,4
برابر,4
ديسک,4
تشريفات,4
تشريفاتي,4
هوا گرفتن,4
خوني,4
تصادفي,4
ترکيب کردن,4
آرامش,4
پروانه,4
زيبا,4
سند,4
تحريک کردن,4
صندل,4
صوت,4
برخورد کردن,4
ترک کردن,4
ليمو,4
ارائه کردن,4
زياد,4
تست,4
هوشياري,4
مسابقه,4
آراسته,4
ترياکي,4
ليسانس,4
سرد,4
مفسر,4
يکه‌تاز,4
سياه,4
دکور,4
زردشتي,4
تنظيم,4
زرتشتي,4
بدر,4
فندقي,4
هشيار,4
هفتم,4
هزار,4
تمثيل,4
خم شدن,4
هنر,4
پياده,4
مرکب,4
سياه کردن,4
کيفور,4
راحت,4
خواب,4
ارس,4
مشهدي,4
دريافتن,4
دريافت,4
خواننده,4
کوفتن,4
پيش آمدن,4
کوفته,4
اساس,4
بده‌بستان,4
صرف کردن,4
مريم,4
زن,4
فوت,4
سيما,4
همراه,4
زنده,4
تعهد,4
سرخ شدن,4
کيش,4
ارگ,4
سياه شدن,4
سيل,4
خودبه‌خود,4
هفت,4
بازگشت,4
بالا,4
هل,4
پيش‌قراول,4
عميق,4
همخوان,4
خود,4
سينا,4
زبده,4
وارد شدن,4
علفي,4
کيسه,4
صامت,4
کوچک,4
تقدير,4
تعيين کردن,4
ميان,4
تمام,4
بحث,4
بالا رفتن,4
آزاد کردن,4
