word,frequency,cumsum
تمثیل,742,742
سیه,739,1481
گند,697,2178
جداشدن,685,2863
خواباندن,679,3542
اوردن,675,4217
واداشتن,665,4882
جاافتاده,659,5541
امدن,653,6194
ارام,616,6810
اهنگ,573,7383
ضربی,533,7916
پزو,516,8432
ایین,514,8946
جداکردن,511,9457
علفی,507,9964
ترسیدن,489,10453
کشدار,463,10916
سنجیدن,448,11364
شتری,446,11810
خز,444,12254
هییت,424,12678
فتوکپی,421,13099
نخودی,415,13514
فکرکردن,413,13927
خمار,397,14324
درخشیدن,392,14716
دوشیزه,362,15078
فراگرفتن,329,15407
فراش,321,15728
افسونگر,301,16029
دریافتن,294,16323
پرکننده,293,16616
مسیله,256,16872
نگاشتن,251,17123
حنبلی,247,17370
شیلینگ,247,17617
ساییدن,235,17852
تاباندن,234,18086
پیچاندن,224,18310
بلندشدن,223,18533
دریده,221,18754
انباشتن,210,18964
گستردن,193,19157
گماشتن,184,19341
ابادان,183,19524
یکسر,182,19706
بلندکردن,174,19880
طفیلی,169,20049
چهارپاره,168,20217
ردشدن,165,20382
دورکردن,163,20545
اژانس,158,20703
خضاب,137,20840
صادرکردن,130,20970
مسدس,128,21098
جگری,99,21197
پسندیدن,98,21295
دمکرده,96,21391
جاانداختن,95,21486
بیصدا,91,21577
جاافتادن,90,21667
برپاکردن,85,21752
ردکردن,84,21836
سیرکردن,78,21914
جاگذاشتن,77,21991
گبر,72,22063
کیفور,72,22135
ریزریز,71,22206
اگاهانه,68,22274
دراوردن,67,22341
سنگچین,66,22407
کوفتن,66,22473
بالاکشیدن,62,22535
مسیول,62,22597
اهسته,61,22658
واگذارکردن,44,22702
جازدن,42,22744
بیمزه,37,22781
بادکردن,37,22818
درباز,35,22853
جادادن,34,22887
ایجادکردن,31,22918
قرمزشدن,27,22945
بیتوجهی,25,22970
بالازدن,23,22993
گیرانداختن,22,23015
برخوردکردن,21,23036
اجراکردن,21,23057
امتیازدادن,20,23077
جابهجایی,19,23096
جابهجا,17,23113
جایگه,15,23128
ایجادشدن,13,23141
عملکردن,13,23154
بینظمی,12,23166
نشاندادن,12,23178
جستجوکردن,12,23190
جاروکش,11,23201
اراسته,10,23211
