word,frequency_x,frequency_y,log_freq
سال,4525103,9,15.0
روز,2192802,9,15.0
قرار,2433581,8,15.0
بازار,2031554,8,15.0
شرکت,2236642,6,15.0
گزارش,2699948,5,15.0
بار,739651,19,14.0
کار,1926269,18,14.0
دست,1256183,17,14.0
طرح,1185558,15,14.0
بخش,1609751,14,14.0
راه,1034833,14,14.0
جهان,786129,11,14.0
صورت,1665644,9,14.0
نظر,1407163,9,14.0
ساعت,1154523,9,14.0
زمان,978871,9,14.0
گروه,920265,9,14.0
حال,1538174,8,14.0
گذشته,1533923,8,14.0
موضوع,1022902,8,14.0
رشد,904392,8,14.0
جامعه,734509,8,14.0
برنامه,1420107,7,14.0
بعد,1084754,7,14.0
نسبت,975426,7,14.0
اول,845414,7,14.0
قانون,822581,7,14.0
عنوان,1866487,6,14.0
مورد,1764239,6,14.0
کاهش,1458774,6,14.0
ماه,1406589,6,14.0
مجلس,1341836,6,14.0
توجه,1321661,6,14.0
نشان,1012567,6,14.0
منطقه,903023,6,14.0
نقل,766228,6,14.0
اطلاعات,749884,6,14.0
نظام,749022,6,14.0
سازمان,1977685,5,14.0
هفته,835902,5,14.0
خط,314370,28,13.0
سر,546261,24,13.0
دوره,615159,14,13.0
گاز,422275,11,13.0
واحد,410186,11,13.0
ارتباط,370855,11,13.0
حساب,333315,11,13.0
اثر,310778,11,13.0
مهر,514191,10,13.0
خانه,471518,10,13.0
انقلاب,716299,9,13.0
بزرگ,691447,9,13.0
سهم,351973,9,13.0
دور,335369,9,13.0
کنترل,321223,9,13.0
کل,717304,8,13.0
کمک,590359,8,13.0
سطح,531057,8,13.0
مرکز,503892,8,13.0
عمل,471202,8,13.0
تن,443056,8,13.0
بودن,439734,8,13.0
محل,410180,8,13.0
شاهد,397647,8,13.0
سمت,382084,8,13.0
طرف,365501,8,13.0
رابطه,347020,8,13.0
جمع,338251,8,13.0
شکل,332771,8,13.0
امر,315873,8,13.0
ماده,301247,8,13.0
نقش,521987,7,13.0
جهت,518796,7,13.0
رو,490031,7,13.0
توان,481142,7,13.0
مقام,479286,7,13.0
پول,450745,7,13.0
عامل,421899,7,13.0
باز,416755,7,13.0
خوب,371776,7,13.0
حق,358207,7,13.0
منبع,290458,7,13.0
کره,274057,7,13.0
دستگاه,520714,6,13.0
قدرت,375844,6,13.0
دفاع,370836,6,13.0
صندوق,364934,6,13.0
عصر,348458,6,13.0
طول,348293,6,13.0
فصل,337643,6,13.0
شب,324081,6,13.0
دستور,308008,6,13.0
حمله,303527,6,13.0
وقت,277859,6,13.0
جذب,270468,6,13.0
حاضر,642265,5,13.0
بورس,587680,5,13.0
عضو,561974,5,13.0
بهره,444792,5,13.0
اضافه,385049,5,13.0
جنگ,384736,5,13.0
فرهنگ,380202,5,13.0
فرد,354840,5,13.0
انتقال,329337,5,13.0
گرفتن,245294,23,12.0
جا,159236,20,12.0
زدن,116699,19,12.0
درجه,125922,14,12.0
پشت,228947,13,12.0
بند,114108,13,12.0
زبان,224902,12,12.0
دسته,154309,12,12.0
گل,236900,11,12.0
رشته,218451,11,12.0
جز,160964,11,12.0
نمونه,158636,10,12.0
دل,112659,10,12.0
مغز,100953,10,12.0
مثبت,212888,9,12.0
رفتن,144546,9,12.0
دفتر,235573,8,12.0
اصل,197491,8,12.0
حکم,177652,8,12.0
پست,172996,8,12.0
سبک,163007,8,12.0
صحنه,159745,8,12.0
نقطه,151096,8,12.0
قسمت,145444,8,12.0
ترک,115814,8,12.0
پا,107974,8,12.0
برخورد,266447,7,12.0
دادن,264271,7,12.0
شماره,243615,7,12.0
صفحه,230460,7,12.0
حد,227215,7,12.0
بسته,222804,7,12.0
جان,203804,7,12.0
محور,194710,7,12.0
خاک,149753,7,12.0
پدر,143892,7,12.0
صدا,140616,7,12.0
سالم,131972,7,12.0
صرف,128507,7,12.0
ساده,119248,7,12.0
چاپ,269485,6,12.0
انسان,263917,6,12.0
اعتبار,254638,6,12.0
جام,246849,6,12.0
حمل,227346,6,12.0
فشار,222595,6,12.0
برد,197660,6,12.0
ابتدا,193192,6,12.0
نرم,189451,6,12.0
مرد,189226,6,12.0
کوتاه,180664,6,12.0
اندازه,180223,6,12.0
ثابت,169134,6,12.0
هوا,160913,6,12.0
گرم,154400,6,12.0
