word,frequency
ارام,616
ردکردن,84
برپاکردن,85
عملکردن,13
خواباندن,679
جداکردن,511
اوردن,675
شتری,446
جداشدن,685
جابهجایی,19
اهنگ,573
شیلینگ,247
پزو,516
هییت,424
درخشیدن,392
خمار,397
فکرکردن,413
مسیله,256
واگذارکردن,44
انباشتن,210
جاانداختن,95
اجراکردن,21
گند,697
یکسر,182
چهارپاره,168
مسیول,62
نشاندادن,12
صادرکردن,130
دراوردن,67
ضربی,533
خز,444
دورکردن,163
تاباندن,234
خضاب,137
بلندشدن,223
بلندکردن,174
سنجیدن,448
دوشیزه,362
بینظمی,12
سیرکردن,78
جادادن,34
جابهجا,17
گستردن,193
جایگه,15
جاافتادن,90
گبر,72
جاگذاشتن,77
بالازدن,23
ردشدن,165
امتیازدادن,20
دریده,221
امدن,653
ایجادکردن,31
بالاکشیدن,62
جستجوکردن,12
واداشتن,665
برخوردکردن,21
ترسیدن,489
تمثیل,742
گیرانداختن,22
سنگچین,66
ساییدن,235
اگاهانه,68
طفیلی,169
بادکردن,37
ابادان,183
دمکرده,96
افسونگر,301
درباز,35
کشدار,463
علفی,507
پیچاندن,224
دریافتن,294
نگاشتن,251
جگری,99
ایجادشدن,13
اهسته,61
بیصدا,91
نخودی,415
ریزریز,71
فراش,321
بیتوجهی,25
فراگرفتن,329
فتوکپی,421
جاروکش,11
جاافتاده,659
مسدس,128
اراسته,10
جازدن,42
کوفتن,66
پسندیدن,98
بیمزه,37
پرکننده,293
ایین,514
گماشتن,184
قرمزشدن,27
اژانس,158
حنبلی,247
سیه,739
کیفور,72
