word,frequency,cumsum
منبتکاری,10,10
هماوایی,10,20
عبورکردن,10,30
نااگاهانه,10,40
اهلسنت,10,50
تودهای,10,60
جاکردن,10,70
ناارام,10,80
درامدن,11,91
دستدادن,11,102
نظرتنگ,11,113
لغوکردن,11,124
پیشرفتن,11,135
نااگاه,12,147
تاکردن,12,159
رشتن,12,171
بهبه,13,184
بیحاصل,13,197
پروازکردن,13,210
پشک,13,223
رامشگری,13,236
پاشدن,13,249
پرسنده,13,262
ریدن,13,275
حقشناس,14,289
امایش,14,303
تاخوردن,14,317
دستوردادن,15,332
سراغاز,15,347
یلخی,15,362
حیرتزده,15,377
دمدار,16,393
بهدین,16,409
خوابزده,16,425
اموختن,17,442
چهارشاخ,17,459
نقرهای,17,476
تذکردادن,17,493
چپگرد,18,511
تنین,18,529
دستگیرکردن,18,547
نااندیشیده,18,565
اثرگذاشتن,18,583
گلهمند,18,601
پراب,18,619
طردکردن,18,637
بیزحمت,18,655
نازکردن,20,675
قناس,20,695
اویزان,20,715
پژمردن,20,735
خشکشدن,21,756
ابکی,21,777
شرمناک,21,798
خزانهداری,21,819
نوباوگی,22,841
یکلا,22,863
بیتفاوت,22,885
متحدشدن,22,907
باقاعده,23,930
گوهرشناس,24,954
پیروزشدن,24,978
اولدی,24,1002
نامبردن,25,1027
بدعتگذار,26,1053
ترادف,26,1079
اسوده,26,1105
لایعقل,27,1132
دودکردن,27,1159
منتشرکردن,27,1186
چرخکار,27,1213
کاربنی,27,1240
نظرکردن,28,1268
انباز,28,1296
علافی,29,1325
رشدکردن,30,1355
پسزمینه,30,1385
افرینش,30,1415
پیوندزدن,31,1446
بهشدت,31,1477
حاضرشدن,31,1508
افشاکردن,32,1540
منتشرشدن,34,1574
دربرگرفتن,36,1610
شبرو,36,1646
عایله,36,1682
بروبیا,37,1719
گداختن,37,1756
مفیدبودن,38,1794
بیحال,39,1833
بینام,39,1872
غرا,39,1911
زهرماری,39,1950
سبکسرانه,40,1990
همشکل,40,2030
بیدارکردن,41,2071
سزاواری,41,2112
تیزاب,42,2154
تاثیرگذاشتن,42,2196
نگفتنی,43,2239
فاسدشدن,44,2283
بیخیالی,45,2328
کوژ,45,2373
واگذاشتن,45,2418
توزرد,46,2464
نابودشدن,46,2510
خبردادن,46,2556
فرتوتی,46,2602
رامشگر,47,2649
نتراشیده,47,2696
هموارکردن,48,2744
بودادن,48,2792
رخدادن,49,2841
کشکی,52,2893
بلاگردان,52,2945
سالوس,53,2998
اشفته,53,3051
اپارات,56,3107
اشوب,57,3164
رمیده,57,3221
خوشخواب,57,3278
اسمانی,59,3337
افشاندن,60,3397
دمان,62,3459
پرسشگرانه,62,3521
سرکشیدن,63,3584
ویترای,64,3648
هجدهمی,65,3713
پانزدهمی,69,3782
سرسوزن,71,3853
وادارکردن,71,3924
اذری,72,3996
بافه,72,4068
گاهشمار,74,4142
گیرافتادن,75,4217
حاجتمند,77,4294
حسابگرانه,78,4372
یادکردن,80,4452
مازو,80,4532
پاپتی,80,4612
دایرکردن,81,4693
لجنی,81,4774
انبارکردن,82,4856
برهمن,82,4938
تنقیه,83,5021
لاشخور,84,5105
سایل,85,5190
زردشتی,85,5275
مارگیر,86,5361
بازگوکردن,87,5448
کامروایی,88,5536
فطیر,89,5625
زیرپایی,90,5715
دکاندار,90,5805
اشتقاق,91,5896
جوزا,93,5989
همزه,94,6083
درگیرکردن,95,6178
راستگرد,96,6274
فشاردادن,97,6371
مسیولیت,97,6468
کارتکس,100,6568
خردکردن,101,6669
ارایش,101,6770
رستن,104,6874
تردست,106,6980
زیرزبانی,106,7086
بیمقدار,108,7194
دیرش,108,7302
خمودی,113,7415
حشو,114,7529
خداوندگار,114,7643
سوارکردن,116,7759
هفدهمی,119,7878
ناگفتنی,120,7998
فوقالعاده,122,8120
کنفی,124,8244
گرداوری,125,8369
سالسا,130,8499
فکل,134,8633
بدکار,136,8769
گاوچران,137,8906
پرمایه,138,9044
هدردادن,140,9184
خموش,141,9325
فروخفته,142,9467
باواسطه,145,9612
سرشکسته,148,9760
گیرکردن,149,9909
سترون,152,10061
ناراست,152,10213
صناعت,154,10367
زیردستی,155,10522
منتظم,155,10677
الوده,160,10837
نابودکردن,161,10998
دلجو,162,11160
حسابگری,162,11322
دوزاری,164,11486
معاشر,164,11650
خنیاگر,165,11815
نورسیده,168,11983
زیگزاگ,169,12152
یکرنگ,169,12321
ناجوری,171,12492
سرراهی,172,12664
سیگارت,172,12836
وارستگی,173,13009
کژدم,176,13185
مدهوش,177,13362
گورکن,179,13541
پراکندن,179,13720
مفارقت,183,13903
زمردی,184,14087
تریاکی,184,14271
دستنویس,186,14457
بیضا,192,14649
کاردکس,195,14844
بیدارشدن,196,15040
قلمبه,198,15238
پرسان,198,15436
روییدن,202,15638
کعب,202,15840
پیشدستی,203,16043
باجگیر,209,16252
نیام,210,16462
گنهکار,218,16680
موتیف,220,16900
نرمه,223,17123
بینهایت,228,17351
زورکی,229,17580
ناسنجیده,231,17811
سنبله,232,18043
حوت,234,18277
پیشقراول,236,18513
پولکی,238,18751
ثقیل,239,18990
مهمانخانه,239,19229
گردویی,244,19473
هواخواه,246,19719
دارچینی,249,19968
عاجی,250,20218
قدرتنمایی,252,20470
حسابگر,255,20725
قلمزنی,262,20987
محمول,269,21256
کاهگلی,269,21525
متشابه,271,21796
خبرچین,271,22067
برونته,271,22338
فرفره,273,22611
تونیک,278,22889
چینه,282,23171
سرخاب,283,23454
اسمان,285,23739
بانمک,286,24025
کاکل,287,24312
تیاتر,287,24599
چلیپا,301,24900
چهارگوش,302,25202
دیمی,305,25507
پیغمبری,319,25826
بارکش,326,26152
یکمی,330,26482
ناپدیدشدن,330,26812
خشکیدن,339,27151
اشنایی,339,27490
بغلی,343,27833
پرتراکم,343,28176
شهسوار,344,28520
سربالا,346,28866
باسک,347,29213
رل,352,29565
نسق,355,29920
فندقی,356,30276
خرمایی,357,30633
اندرون,361,30994
سرشاخ,365,31359
برافروختن,370,31729
زوزه,379,32108
مغزدار,379,32487
ازمایش,380,32867
بادقت,381,33248
طرحواره,382,33630
داغان,384,34014
یمین,386,34400
همدوره,391,34791
یومیه,396,35187
مطرب,402,35589
طباخی,407,35996
فاطر,410,36406
چیرگی,413,36819
مصحح,413,37232
مهتابی,415,37647
تاختن,416,38063
گزیدن,420,38483
پرحرارت,421,38904
سیرابی,422,39326
کبریتی,423,39749
کاهی,427,40176
لودگی,430,40606
نونوار,431,41037
برهوت,434,41471
گیسو,435,41906
نگریستن,436,42342
برفک,439,42781
لختی,445,43226
واردشدن,445,43671
حنفی,446,44117
جوشیدن,456,44573
دله,458,45031
نیمرخ,458,45489
ریسه,460,45949
گیرایی,462,46411
استادکار,464,46875
عوضی,469,47344
سوارشدن,473,47817
خرافاتی,475,48292
دهر,482,48774
ممات,482,49256
شکافتن,484,49740
همصدایی,488,50228
طلاسازی,489,50717
نونهال,499,51216
ترکه,507,51723
پشته,516,52239
زیردست,521,52760
صدفی,530,53290
بشاش,531,53821
اجری,536,54357
المانی,536,54893
باربر,542,55435
ارمان,548,55983
شادکام,551,56534
پرتقالی,553,57087
متل,559,57646
افزونی,564,58210
توفیر,567,58777
فلس,574,59351
سربی,576,59927
محنت,578,60505
ازمون,583,61088
غرغره,586,61674
اگاه,597,62271
ساندویچی,604,62875
بینشان,610,63485
ضدویروس,613,64098
دولا,615,64713
کنارگذاشتن,624,65337
درگوشی,628,65965
گچی,630,66595
کرکس,633,67228
بدجور,633,67861
بزغاله,645,68506
روشندل,656,69162
بیمناک,657,69819
احدیت,658,70477
مجرا,659,71136
فرونشاندن,663,71799
رقت,668,72467
اماره,673,73140
صفه,679,73819
اشنا,685,74504
استانه,710,75214
حرج,738,75952
بیسواد,742,76694
