word,frequency
خط,314370
برداشتن,23243
سر,546261
گرفتن,245294
جا,159236
کشیدن,39511
زدن,116699
بار,739651
کار,1926269
دست,1256183
دم,35817
طرح,1185558
دوره,615159
خوردن,95781
بخش,1609751
راه,1034833
درجه,125922
شیر,106148
پشت,228947
بند,114108
زبان,224902
اب,3454
چیز,131430
ارام,616
دسته,154309
انداختن,18995
رسیدن,186090
اثر,310778
دنیا,396528
سرویس,205357
جز,160964
گاز,422275
ارتباط,370855
پذیرفتن,6881
رشته,218451
میدان,246275
گذشتن,3541
کرم,24723
گل,236900
جهان,786129
نگهداشتن,2778
حساب,333315
بستن,27442
واحد,410186
پریدن,2719
برگرداندن,4206
خواندن,55182
خواستن,2512
میزان,713440
ردکردن,84
نمونه,158636
پایه,177037
شانه,20174
مهر,514191
بازی,982989
ساختن,47867
جمعکردن,0
ایستادن,6463
پیوند,50755
دل,112659
نتیجه,437687
خانه,471518
مغز,100953
گروه,920265
کندن,3178
سال,4525103
فهمیدن,2437
مثبت,212888
شکستن,17818
ساعت,1154523
سهم,351973
برپاکردن,85
سایه,68190
کف,39873
بردن,78468
کنترل,321223
انقلاب,716299
دور,335369
زندگی,605642
بزرگ,691447
صورت,1665644
پرده,67705
گشتن,1356
رفتن,144546
زیر,519561
زمین,366228
سرباز,42750
زمان,978871
تار,14049
روز,2192802
خیر,101294
نظر,1407163
پا,107974
صحنه,159745
پست,172996
حال,1538174
امر,315873
شاهد,397647
دین,97251
سیاست,479562
رابطه,347020
حاشیه,220717
روی,1070276
ریال,483666
رشد,904392
حکم,177652
صافکردن,0
قرار,2433581
جامعه,734509
بهوجوداوردن,0
کارکردن,2582
مستقیم,172259
سبک,163007
عالم,47234
دلیل,902613
پاککردن,0
عشق,81832
دستی,88937
مرکز,503892
سطح,531057
ماده,301247
موضوع,1022902
موقعیت,90337
جمع,338251
بودن,439734
ترک,115814
محل,410180
کل,717304
درهم,18774
نیرو,141550
جایگاه,226036
گرده,5169
اخر,3969
اصل,197491
نقطه,151096
راست,61270
جریان,367987
عملکردن,13
عمل,471202
دفتر,235573
گذشته,1533923
سمت,382084
خواباندن,679
تن,443056
بازار,2031554
شکل,332771
سوختن,4908
قسمت,145444
ماندن,54595
طرف,365501
ادم,1594
کمک,590359
جداکردن,511
اوردن,675
شتری,446
نسبت,975426
رای,274477
رسیدگی,177550
صدا,140616
جداشدن,685
رسیدگیکردن,0
نوشتن,33869
جان,203804
نشستن,18425
جهت,518796
جابهجایی,19
فضا,82364
نفتی,389588
حامی,49978
نماینده,407633
نقش,521987
شماره,243615
گذراندن,15057
پدر,143892
جمعشدن,0
اهنگ,573
اول,845414
شیری,9536
حد,227215
شیلینگ,247
چین,333770
باز,416755
ابشدن,0
انتقالدادن,0
مقام,479286
اصلاحکردن,0
خراب,23442
درستکردن,0
تند,40300
تبدیل,335110
عامل,421899
توان,481142
ترکیب,113427
عطف,8304
پزو,516
قانون,822581
سیر,47818
رو,490031
بسته,222804
ضعیف,73037
هییت,424
میل,49674
تاریخ,678127
سلام,65901
پول,450745
دادن,264271
دارایی,148441
برنامه,1420107
ساده,119248
کره,274057
برخورد,266447
خوب,371776
در,45724095
شاسی,16948
صفحه,230460
بازکردن,2831
محور,194710
