id,search_value,synset,pos,semanticCategory,example,gloss,frequency
26003,برگرداندن,10428,Noun,ACT,--نامعلوم--:با وجود اعاده ي کتاب به کتابخانه بچه تشويق نشد * --نامعلوم--: در صورت نارضايتي از خريد خود، مبلغ پرداخت شده عودت داده خواهد شد  *,--نامعلوم--:پس فرستادن به جاي اصلي خود *,10
20447,خواندن,8494,Verb,cognition,فيلمنامه ام را خواند و نظر داد.,نگاه کردن به نوشته و درک کردن مفاهيم آن,10
20437,خواستن,9669,Verb,emotion,دوست داشتم امروز يک کمي پياده روي کنم,تمايل  و علاقه به انجام کاري داشتن,10
35663,ميزان,13517,Noun,OBJECT,--نامعلوم--:ميزان در کنار زهره قابل رؤيت است. *,"--نامعلوم--:صورت هفتم از صورت‌هاي فلکي منطقه‌البروج , واقع در نيمکرة جنوبي آسمان. *",10
48100,ردکردن,16929,Verb,possession,حالا به اتهام قاچاق کردن ترياک حبس است.,حمل و خريد و فروش کردن کالايي غير مجاز,10
36137,نمونه,11366,Noun,COGNITION,مثالي در اين رابطه را در صفحه ي 10 مي توانيد مشاهده کنيد,"موردي مشابه يا هم تراز با موضوع مورد بحث, براي کمک به روشن شدن مطلب و فهم آن",10
37081,پايه,13238,Noun,GROUP,پايه هاي اول هميشه شلوغتر بوده اند,گروهي از دانش آموزان که با هم آموزش مي بينند,10
32356,شانه,11291,Noun,BODY,شانه اش  درد مي کند,هر يک از دو بخش بالايي تنه  که بين گردن و قسمت بالايي و انتهايي بازوها قرار گرفته و بازوها را به تنه متصل مي کند,10
24993,مهر,14668,Noun,COMMUNICATION,--نامعلوم--:مهر سر نامه گشوده شده‌بود. *,--نامعلوم--:نقشي که بر جسم نقش‌پذير مانند موم مي‌زنند و آن را بر چيزي مانند در خزانه يا سر نامه مي‌چسبانند تا اگر ديگري آن‌ها را باز کند مشخص باشد. *,10
14203,بازي,192,Adjective,material,اين ماده بازي با محلول اسيدي ترکيب شد,ويژگي هر يک از انواع گوناگون ترکيبات شيميايي با مزه تلخ که مي توانند با اسيدها ترکيب شوند و نمک و آب توليد کنند,10
49590,ساختن,17945,Verb,creation,--نامعلوم--:به دليل آن که امضاي رئيسش را جعل کرده بود، به زندان افتاد. *,--نامعلوم--:ساختن چيزي دروغين و تقلبي با تقليد از اصل آن *,10
20135,جمعکردن,7606,Verb,contact,کمي هيزم جمع کردند.,در يک جا جمع کردن يا روي هم گذاشتن,10
133930,ايستادن,9054,Verb,motion,--نامعلوم--:ماشين جلوي مغازه توقف کرد. *,--نامعلوم--:از حرکت باز ايستادن *,10
65892,پيوند,14712,Noun,PHENOMENON,تعداد پيوندهاي شيميايي در مولکول‌هاي مختلف متفاوت است و از يک پيوند در مولکول‌هاي ساده دو اتمي تا پيوندهاي بسيار در ماکرومولکول‌ها را شامل مي‌شود.,نيرويي که اتم‌ها يا مولکول‌ها را کنار هم نگه مي‌دارد,10
