search_value,frequency
خط,28
برداشتن,25
سر,24
گرفتن,23
جا,20
کشيدن,19
زدن,19
بار,19
کار,18
دست,17
دم,16
طرح,15
دوره,14
خوردن,14
بخش,14
راه,14
درجه,14
شير,13
پشت,13
بند,13
ارام,12
انداختن,12
دسته,12
رسيدن,12
چيز,12
زبان,12
اب,12
گذشتن,11
پريدن,11
واحد,11
بستن,11
حساب,11
نگهداشتن,11
جهان,11
کرم,11
گل,11
ميدان,11
جز,11
رشته,11
دنيا,11
سرويس,11
اثر,11
گاز,11
ارتباط,11
پذيرفتن,11
بازي,10
مغز,10
خانه,10
دل,10
پيوند,10
ايستادن,10
جمعکردن,10
ساختن,10
نتيجه,10
مهر,10
پايه,10
نمونه,10
ردکردن,10
ميزان,10
برگرداندن,10
خواستن,10
خواندن,10
شانه,10
زير,9
بزرگ,9
صورت,9
پرده,9
گشتن,9
رفتن,9
روز,9
زمين,9
سرباز,9
تار,9
دور,9
خير,9
نظر,9
زندگي,9
زمان,9
انقلاب,9
ساعت,9
گروه,9
کندن,9
سال,9
مثبت,9
شکستن,9
فهميدن,9
سهم,9
برپاکردن,9
سايه,9
کف,9
بردن,9
کنترل,9
جايگاه,8
راست,8
نقطه,8
اصل,8
اخر,8
گرده,8
بودن,8
نيرو,8
درهم,8
کل,8
محل,8
ترک,8
عملکردن,8
جريان,8
بازار,8
عمل,8
دفتر,8
گذشته,8
سمت,8
خواباندن,8
تن,8
شکل,8
سوختن,8
قسمت,8
ماندن,8
طرف,8
کمک,8
موقعيت,8
جمع,8
ادم,8
موضوع,8
حکم,8
صحنه,8
پا,8
پست,8
حال,8
امر,8
ماده,8
دين,8
سياست,8
رابطه,8
حاشيه,8
روي,8
ريال,8
رشد,8
شاهد,8
صافکردن,8
دليل,8
قرار,8
سطح,8
مرکز,8
عشق,8
پاککردن,8
دستي,8
عالم,8
سبک,8
مستقيم,8
کارکردن,8
بهوجوداوردن,8
جامعه,8
تاريخ,7
کره,7
ساده,7
برنامه,7
دارايي,7
دادن,7
پول,7
سلام,7
قانون,7
ميل,7
هييت,7
ضعيف,7
بسته,7
رو,7
سير,7
پزو,7
عطف,7
برخورد,7
خاليکردن,7
در,7
سالم,7
بعد,7
خارجکردن,7
خان,7
گيره,7
توان,7
خاک,7
تير,7
حق,7
شاسي,7
صرف,7
دينار,7
منبع,7
انجامدادن,7
محور,7
بازکردن,7
صفحه,7
ترکيب,7
خوب,7
عامل,7
نقش,7
حامي,7
نفتي,7
فضا,7
جابهجايي,7
جهت,7
نشستن,7
جان,7
نوشتن,7
رسيدگيکردن,7
جداشدن,7
صدا,7
رسيدگي,7
راي,7
نسبت,7
اوردن,7
جداکردن,7
تبديل,7
نماينده,7
شتري,7
شماره,7
چين,7
گذراندن,7
خراب,7
اصلاحکردن,7
مقام,7
انتقالدادن,7
ابشدن,7
باز,7
درستکردن,7
شيلينگ,7
جمعشدن,7
پدر,7
حد,7
تند,7
شيري,7
اول,7
اهنگ,7
گسترشدادن,6
علم,6
واگذارکردن,6
مدعي,6
اندازه,6
رديف,6
محيط,6
توجه,6
کانال,6
رويه,6
ريختن,6
رييس,6
ثابت,6
روپيه,6
ابتدا,6
انباشتن,6
قبولکردن,6
وقت,6
قدرت,6
تور,6
خوبي,6
سو,6
کوته,6
برگشتن,6
قدر,6
خرد,6
انتها,6
فشار,6
سوزاندن,6
خطا,6
ناراحت,6
خزانه,6
کوتاه,6
انسان,6
تمامکردن,6
صندوق,6
مرد,6
اتش,6
جدول,6
متوجهشدن,6
علاقه,6
کاهش,6
انگاره,6
روشنکردن,6
عصر,6
توليد,6
جام,6
مجلس,6
تکرار,6
عنوان,6
پي,6
جذب,6
هوا,6
تصوير,6
هدايت,6
وجه,6
ترتيب,6
تيغ,6
رد,6
عمر,6
کانون,6
طول,6
جدي,6
جاانداختن,6
ولکردن,6
اجراکردن,6
ظرفيت,6
محکم,6
صاف,6
نمايش,6
ستاره,6
چرخيدن,6
بالارفتن,6
راهانداختن,6
درخشيدن,6
گرم,6
بادي,6
منفي,6
چاپ,6
پيچيدن,6
اعتبار,6
کشتي,6
نهاد,6
دستور,6
کليد,6
خمار,6
دنبالکردن,6
گرد,6
چک,6
مسير,6
جلودار,6
خوابيدن,6
سرمايه,6
دال,6
پيش,6
مورد,6
ساختار,6
ملک,6
شور,6
لب,6
بد,6
منطقه,6
دفاع,6
اطلاعات,6
درککردن,6
سکو,6
دستگاه,6
نظام,6
نشاندن,6
شب,6
حفظکردن,6
حمله,6
ازبينرفتن,6
حمل,6
بنياد,6
بررسيکردن,6
بنيان,6
برد,6
پخشکردن,6
نقل,6
سنگين,6
ماه,6
پرداختن,6
نرم,6
شناسايي,6
کپيکردن,6
سيستم,6
چهره,6
اينده,6
فکرکردن,6
چنگال,6
مسيله,6
خاکي,6
خرابکردن,6
بستهشدن,6
ارتفاع,6
نشان,6
فصل,6
شرکت,6
خبر,6
باقيمانده,5
گرفتگي,5
ساکت,5
گذاشتن,5
افت,5
گستردن,5
جو,5
ترکيبکردن,5
شکستخوردن,5
دستبهنقد,5
جايگه,5
پايداري,5
انتقال,5
ثبتکردن,5
جابهجا,5
جفت,5
پر,5
مد,5
جاافتادن,5
نوبت,5
بورس,5
گبر,5
تشخيص,5
تسليم,5
جداساختن,5
بال,5
جاگذاشتن,5
پذيرش,5
بالازدن,5
پاک,5
پارک,5
سازمان,5
مانع,5
ترککردن,5
دوشيزه,5
اقا,5
نيمه,5
بلندي,5
خارجي,5
هفته,5
بلندکردن,5
قلم,5
پسوپيش,5
ضبطکردن,5
عمليات,5
سنجيدن,5
کناره,5
طراحي,5
خرابشدن,5
تنگشدن,5
جادادن,5
قبضه,5
بينظمي,5
ته,5
سن,5
خنثي,5
زنجيره,5
سيرکردن,5
خدمت,5
خدمتکردن,5
طراحيکردن,5
فرازاوردن,5
جلو,5
وظيفه,5
جابازکردن,5
گردش,5
کتابخانه,5
منتقلشدن,5
نوک,5
نوشته,5
امدن,5
حاضر,5
بيروندادن,5
ارايه,5
سربراوردن,5
تخت,5
بهره,5
ارايهدادن,5
کارگر,5
حاکم,5
جرم,5
علامت,5
ايجادکردن,5
تکه,5
عضو,5
گام,5
مهره,5
کاشتن,5
حالت,5
تخريب,5
بالاکشيدن,5
حاصل,5
نقاش,5
جستن,5
جستجوکردن,5
ذکر,5
واداشتن,5
عسلي,5
پوسته,5
بيان,5
ارايهکردن,5
بيرونکردن,5
مدار,5
راندن,5
جنگ,5
فرستادن,5
پايين,5
وضع,5
فرمان,5
گزارش,5
ردشدن,5
افتادن,5
ترکمن,5
فرهنگ,5
شيوه,5
تجاوزکردن,5
سخت,5
مرگ,5
مقاومت,5
گران,5
فرد,5
امتيازدادن,5
سختي,5
شکار,5
امتياز,5
اضافه,5
دريده,5
شکارچي,5
شنيدن,5
نور,5
